username,url
miggbeye,https://twitter.com/miggbeye/status/1160876890888048640
JagneMomar,https://twitter.com/JagneMomar/status/1160870621410185216
moustafa25,https://twitter.com/moustafa25/status/1160869765289783296
BirahimJalloh,https://twitter.com/BirahimJalloh/status/1160853197071634433
xadymo,https://twitter.com/xadymo/status/1160851934112374784
Iammustafa__,https://twitter.com/Iammustafa__/status/1160849640289394688
GrannyzBoy,https://twitter.com/GrannyzBoy/status/1160809413604728832
iAmkiDtyGa,https://twitter.com/iAmkiDtyGa/status/1160756285169655808
GoziFall,https://twitter.com/GoziFall/status/1160869821216710656
Meuzounei,https://twitter.com/Meuzounei/status/1160867908664397824
vhmvd__,https://twitter.com/vhmvd__/status/1160867133670199296
Lenabae_,https://twitter.com/Lenabae_/status/1160865886636523525
MoctarSamb,https://twitter.com/MoctarSamb/status/1160861458181308416
zallo_N,https://twitter.com/zallo_N/status/1160860923936018432
cissehabibatou,https://twitter.com/cissehabibatou/status/1160860910023520256
Khady_Dioop,https://twitter.com/Khady_Dioop/status/1160859454205779969
TijaaniCheikh,https://twitter.com/TijaaniCheikh/status/1160858810044616704
kharagnesall,https://twitter.com/kharagnesall/status/1160857625304731648
diagnedoumo00,https://twitter.com/diagnedoumo00/status/1160857049384681472
paelhadji,https://twitter.com/paelhadji/status/1160843026819964928
jahateh_maimuna,https://twitter.com/jahateh_maimuna/status/1160746652921151488
sukaiiiiii,https://twitter.com/sukaiiiiii/status/1160730472491524096
sukaiiiiii,https://twitter.com/sukaiiiiii/status/1160730184619704321
__OSe,https://twitter.com/__OSe/status/1160713115295768576
MoustaphaNgomSn,https://twitter.com/MoustaphaNgomSn/status/1160858415746486272
lamine_saliha,https://twitter.com/lamine_saliha/status/1160849960415506438
EidPhotos,https://twitter.com/EidPhotos/status/1160805709681967107
EidPhotos,https://twitter.com/EidPhotos/status/1160797541618860033
deguenebruce23,https://twitter.com/deguenebruce23/status/1160737494608035841
_haddymay,https://twitter.com/_haddymay/status/1160723130358423553
Seuufiiie,https://twitter.com/Seuufiiie/status/1161425708276752384
FaBiiRa2,https://twitter.com/FaBiiRa2/status/1161424555145138177
Ndeyetouty4,https://twitter.com/Ndeyetouty4/status/1161424397623791616
Its__BF,https://twitter.com/Its__BF/status/1161424388975206405
linguere_aida,https://twitter.com/linguere_aida/status/1161424296499187712
Moimeme90435075,https://twitter.com/Moimeme90435075/status/1161424269152333825
Badianemalick98,https://twitter.com/Badianemalick98/status/1161424171404091392
NdiayePapaMata1,https://twitter.com/NdiayePapaMata1/status/1161423788820578304
Fatima_Ababacar,https://twitter.com/Fatima_Ababacar/status/1161423701201604608
khadimdjitte2,https://twitter.com/khadimdjitte2/status/1161420032779399170
fatim_bintdemba,https://twitter.com/fatim_bintdemba/status/1161417956154314752
MameFatouTraor2,https://twitter.com/MameFatouTraor2/status/1161417417492484099
OumouKhairy28,https://twitter.com/OumouKhairy28/status/1161416205032460289
ousntic,https://twitter.com/ousntic/status/1161415346122895360
BingieWinkyG,https://twitter.com/BingieWinkyG/status/1161414631254106112
BineBineNetetou,https://twitter.com/BineBineNetetou/status/1161414365955989505
HadySarrDiop,https://twitter.com/HadySarrDiop/status/1161413146575286278
hex_shuga,https://twitter.com/hex_shuga/status/1161409823658954754
uziert517,https://twitter.com/uziert517/status/1161409148946436096
NouroulHijab,https://twitter.com/NouroulHijab/status/1161409145091870720
CSinwinde,https://twitter.com/CSinwinde/status/1161408578445557761
FlaTheRipper,https://twitter.com/FlaTheRipper/status/1161408325440954369
NdiayeFatima5,https://twitter.com/NdiayeFatima5/status/1161408125867581440
RaamFall,https://twitter.com/RaamFall/status/1161408071694004225
bybyshadg,https://twitter.com/bybyshadg/status/1161407607724302337
Thiamos08,https://twitter.com/Thiamos08/status/1161407183352999937
Ngary54211209,https://twitter.com/Ngary54211209/status/1161308351680196610
raby_dll,https://twitter.com/raby_dll/status/1161305279646097409
NASallyT,https://twitter.com/NASallyT/status/1161234599726465024
Marie_Estar,https://twitter.com/Marie_Estar/status/1161290662404399104
Diagana98,https://twitter.com/Diagana98/status/1161067032944754690
tete_traore,https://twitter.com/tete_traore/status/1161373130713161729
habibndoye,https://twitter.com/habibndoye/status/1161069023435640832
Mignelebae,https://twitter.com/Mignelebae/status/1161082241658826752
aissatou2322,https://twitter.com/aissatou2322/status/1161228466978775040
LambertIssa,https://twitter.com/LambertIssa/status/1161282750680354818
Ibra_DC,https://twitter.com/Ibra_DC/status/1161357785612922880
louAtHeEbEsT,https://twitter.com/louAtHeEbEsT/status/1161403962068787206
claudina_vimont,https://twitter.com/claudina_vimont/status/1161130389664149505
jatuh_n,https://twitter.com/jatuh_n/status/1161401253739597827
DiakhateAita,https://twitter.com/DiakhateAita/status/1161376177396822017
